Version               : 0.3                  
System                : Sunbeam              
Analysis Type         : Area                 
Current time          : 19-Feb-2021 19:22:52 



Motion      : 1 
  Name      : Azimuth 
  Method    : Step    
  Minimum   : -180 
  Maximum   : 180 
  Step      : 5 
Motion      : 2 
  Name      : Elevation 
  Method    : Step    
  Minimum   : -90 
  Maximum   : 90  
  Step      : 5 
: END 

Record count :  2701 
Azimuth    Elevation Force(X)           Force(Y)           Force(Z)           
   degrees degrees                m^2                m^2                m^2 
---------- ------- ------------------ ------------------ ------------------ 
   -180.00  -90.00 -494.86000000000001   0.00000000000000   0.00000000000000 
   -180.00  -85.00 -491.10098232781070  42.96576860012858  -0.00000000000000 
   -180.00  -80.00 -479.93814516105726  84.62604406307021  -0.00000000000000 
   -180.00  -75.00 -461.71066565838368 123.71499999999999  -0.00000000000000 
   -180.00  -70.00 -436.97237656092881 159.04493826474044  -0.00000000000000 
   -180.00  -65.00 -406.47493826474039 189.54237656092874  -0.00000000000000 
   -180.00  -60.00 -371.14499999999998 214.28066565838364  -0.00000000000000 
   -180.00  -55.00 -332.05604406307026 232.50814516105731  -0.00000000000000 
   -180.00  -50.00 -290.39576860012858 243.67098232781063  -0.00000000000000 
   -180.00  -45.00 -247.43000000000006 247.43000000000006  -0.00000000000000 
   -180.00  -40.00 -204.46423139987138 243.67098232781061  -0.00000000000000 
   -180.00  -35.00 -162.80395593692975 232.50814516105729  -0.00000000000000 
   -180.00  -30.00 -123.71500000000000 214.28066565838364  -0.00000000000000 
   -180.00  -25.00 -88.38506173525958 189.54237656092874  -0.00000000000000 
   -180.00  -20.00 -57.88762343907126 159.04493826474044  -0.00000000000000 
   -180.00  -15.00 -33.14933434161634 123.71499999999999  -0.00000000000000 
   -180.00  -10.00 -14.92185483894268  84.62604406307020  -0.00000000000000 
   -180.00   -5.00  -3.75901767218936  42.96576860012858  -0.00000000000000 
   -180.00    0.00  -0.00000000000000  -0.00000000000000   0.00000000000000 
   -180.00    5.00  -6.58690252649695 -75.28864039105099   0.00000000000000 
   -180.00   10.00 -26.14747040585370 -148.28967354171019   0.00000000000000 
   -180.00   15.00 -58.08736568118093 -216.78500000000003   0.00000000000000 
   -180.00   20.00 -101.43611079690470 -278.69342393179289   0.00000000000000 
   -180.00   25.00 -154.87657606820716 -332.13388920309529   0.00000000000000 
   -180.00   30.00 -216.78500000000003 -375.48263431881907   0.00000000000000 
   -180.00   35.00 -285.28032645828978 -407.42252959414634   0.00000000000000 
   -180.00   40.00 -358.28135960894895 -426.98309747350299   0.00000000000000 
   -180.00   45.00 -433.57000000000016 -433.57000000000016   0.00000000000000 
   -180.00   50.00 -508.85864039105104 -426.98309747350305   0.00000000000000 
   -180.00   55.00 -581.85967354171032 -407.42252959414634   0.00000000000000 
   -180.00   60.00 -650.35500000000002 -375.48263431881907   0.00000000000000 
   -180.00   65.00 -712.26342393179289 -332.13388920309535   0.00000000000000 
   -180.00   70.00 -765.70388920309540 -278.69342393179289   0.00000000000000 
   -180.00   75.00 -809.05263431881917 -216.78500000000003   0.00000000000000 
   -180.00   80.00 -840.99252959414639 -148.28967354171019   0.00000000000000 
   -180.00   85.00 -860.55309747350316 -75.28864039105099   0.00000000000000 
   -180.00   90.00 -867.14000000000010  -0.00000000000000   0.00000000000000 
   -175.00  -90.00 -494.86000000000001   0.00000000000000  -0.00000000000000 
   -175.00  -85.00 -491.10098232781070  42.80227087888489  -3.74471347506821 
   -175.00  -80.00 -479.93814516105726  84.30401641610898  -7.37564572611293 
   -175.00  -75.00 -461.71066565838368 123.24422707442029 -10.78247271402653 
   -175.00  -70.00 -436.97237656092881 158.43972425766341 -13.86167972471889 
   -175.00  -65.00 -406.47493826474039 188.82111059370635 -16.51970661132406 
   -175.00  -60.00 -371.14499999999998 213.46526303245176 -18.67579057191903 
   -175.00  -55.00 -332.05604406307026 231.62338147259123 -20.26442008639227 
   -175.00  -50.00 -290.39576860012858 242.74374067377238 -21.23732545083182 
   -175.00  -45.00 -247.43000000000006 246.48845414884067 -21.56494542805306 
   -175.00  -40.00 -204.46423139987138 242.74374067377235 -21.23732545083182 
   -175.00  -35.00 -162.80395593692975 231.62338147259121 -20.26442008639227 
   -175.00  -30.00 -123.71500000000000 213.46526303245176 -18.67579057191903 
   -175.00  -25.00 -88.38506173525958 188.82111059370635 -16.51970661132406 
   -175.00  -20.00 -57.88762343907126 158.43972425766341 -13.86167972471889 
   -175.00  -15.00 -33.14933434161634 123.24422707442029 -10.78247271402653 
   -175.00  -10.00 -14.92185483894268  84.30401641610896  -7.37564572611293 
   -175.00   -5.00  -3.75901767218936  42.80227087888489  -3.74471347506821 
   -175.00    0.00  -0.00000000000000  -0.00000000000000   0.00000000000000 
   -175.00    5.00  -6.58690252649695 -75.00214438410104   6.56183737374339 
   -175.00   10.00 -26.14747040585370 -147.72538656400749  12.92429663933551 
   -175.00   15.00 -58.08736568118093 -215.96006762581908  18.89405769155108 
   -175.00   20.00 -101.43611079690470 -277.63291131388729  24.28973236166338 
   -175.00   25.00 -154.87657606820716 -330.87001948071480  28.94737580516417 
   -175.00   30.00 -216.78500000000003 -374.05380953392927  32.72546788290400 
   -175.00   35.00 -285.28032645828978 -405.87216386481589  35.50921317890757 
   -175.00   40.00 -358.28135960894895 -425.35829787789470  37.21402900099888 
   -175.00   45.00 -433.57000000000016 -431.92013525163827  37.78811538310217 
   -175.00   50.00 -508.85864039105104 -425.35829787789476  37.21402900099888 
   -175.00   55.00 -581.85967354171032 -405.87216386481589  35.50921317890757 
   -175.00   60.00 -650.35500000000002 -374.05380953392927  32.72546788290400 
   -175.00   65.00 -712.26342393179289 -330.87001948071486  28.94737580516418 
   -175.00   70.00 -765.70388920309540 -277.63291131388729  24.28973236166338 
   -175.00   75.00 -809.05263431881917 -215.96006762581908  18.89405769155108 
   -175.00   80.00 -840.99252959414639 -147.72538656400749  12.92429663933551 
   -175.00   85.00 -860.55309747350316 -75.00214438410104   6.56183737374339 
   -175.00   90.00 -867.14000000000010  -0.00000000000000   0.00000000000000 
   -170.00  -90.00 -494.86000000000001   0.00000000000000  -0.00000000000000 
   -170.00  -85.00 -491.10098232781070  42.31302203153511  -7.46092741947134 
   -170.00  -80.00 -479.93814516105726  83.34038430006429 -14.69515833471349 
   -170.00  -75.00 -461.71066565838368 121.83549116390530 -21.48288430006428 
   -170.00  -70.00 -436.97237656092881 156.62868828046436 -27.61786369682162 
   -170.00  -65.00 -406.47493826474039 186.66280196156205 -32.91368828046436 
   -170.00  -60.00 -371.14499999999998 211.02526086099300 -37.20944710083510 
   -170.00  -55.00 -332.05604406307026 228.97582399309715 -40.37461569993571 
   -170.00  -50.00 -290.39576860012858 239.96907258052863 -42.31302203153511 
   -170.00  -45.00 -247.43000000000006 243.67098232781069 -42.96576860012858 
   -170.00  -40.00 -204.46423139987138 239.96907258052860 -42.31302203153510 
   -170.00  -35.00 -162.80395593692975 228.97582399309712 -40.37461569993570 
   -170.00  -30.00 -123.71500000000000 211.02526086099300 -37.20944710083510 
   -170.00  -25.00 -88.38506173525958 186.66280196156205 -32.91368828046436 
   -170.00  -20.00 -57.88762343907126 156.62868828046436 -27.61786369682162 
   -170.00  -15.00 -33.14933434161634 121.83549116390530 -21.48288430006428 
   -170.00  -10.00 -14.92185483894268  83.34038430006427 -14.69515833471349 
   -170.00   -5.00  -3.75901767218936  42.31302203153511  -7.46092741947134 
   -170.00    0.00  -0.00000000000000  -0.00000000000000   0.00000000000000 
   -170.00    5.00  -6.58690252649695 -74.14483677085509  13.07373520292685 
   -170.00   10.00 -26.14747040585370 -146.03682019552548  25.75023157734199 
   -170.00   15.00 -58.08736568118093 -213.49154873675155  37.64432019552549 
   -170.00   20.00 -101.43611079690470 -274.45944460154766  48.39460519351311 
   -170.00   25.00 -154.87657606820716 -327.08802912530592  57.67444460154765 
   -170.00   30.00 -216.78500000000003 -369.77820939862079  65.20187519504132 
   -170.00   35.00 -285.28032645828978 -401.23286589616106  70.74817980447450 
   -170.00   40.00 -358.28135960894895 -420.49626479707308  74.14483677085508 
   -170.00   45.00 -433.57000000000016 -426.98309747350316  75.28864039105102 
   -170.00   50.00 -508.85864039105104 -420.49626479707314  74.14483677085509 
   -170.00   55.00 -581.85967354171032 -401.23286589616106  70.74817980447450 
   -170.00   60.00 -650.35500000000002 -369.77820939862079  65.20187519504132 
   -170.00   65.00 -712.26342393179289 -327.08802912530598  57.67444460154766 
   -170.00   70.00 -765.70388920309540 -274.45944460154766  48.39460519351311 
   -170.00   75.00 -809.05263431881917 -213.49154873675155  37.64432019552549 
   -170.00   80.00 -840.99252959414639 -146.03682019552548  25.75023157734199 
   -170.00   85.00 -860.55309747350316 -74.14483677085509  13.07373520292685 
   -170.00   90.00 -867.14000000000010  -0.00000000000000   0.00000000000000 
   -165.00  -90.00 -494.86000000000001   0.00000000000000  -0.00000000000000 
   -165.00  -85.00 -491.10098232781070  41.50174553722410 -11.12035920118115 
   -165.00  -80.00 -479.93814516105726  81.74248153719620 -21.90283191520768 
   -165.00  -75.00 -461.71066565838368 119.49951359935207 -32.01979816485835 
   -165.00  -70.00 -436.97237656092881 153.62561341046327 -41.16385905006948 
   -165.00  -65.00 -406.47493826474039 183.08387669640882 -49.05717690796199 
   -165.00  -60.00 -371.14499999999998 206.97922903384580 -55.45991726963536 
   -165.00  -55.00 -332.05604406307026 224.58562223363293 -60.17753610914313 
   -165.00  -50.00 -290.39576860012858 235.36809494765944 -63.06669096527715 
   -165.00  -45.00 -247.43000000000006 238.99902719870423 -64.03959632971673 
   -165.00  -40.00 -204.46423139987138 235.36809494765942 -63.06669096527715 
   -165.00  -35.00 -162.80395593692975 224.58562223363290 -60.17753610914313 
   -165.00  -30.00 -123.71500000000000 206.97922903384580 -55.45991726963536 
   -165.00  -25.00 -88.38506173525958 183.08387669640882 -49.05717690796199 
   -165.00  -20.00 -57.88762343907126 153.62561341046327 -41.16385905006948 
   -165.00  -15.00 -33.14933434161634 119.49951359935207 -32.01979816485835 
   -165.00  -10.00 -14.92185483894268  81.74248153719618 -21.90283191520767 
   -165.00   -5.00  -3.75901767218936  41.50174553722410 -11.12035920118115 
   -165.00    0.00  -0.00000000000000  -0.00000000000000   0.00000000000000 
   -165.00    5.00  -6.58690252649695 -72.72324217990645  19.48613401307889 
   -165.00   10.00 -26.14747040585370 -143.23682544591261  38.38019170462996 
   -165.00   15.00 -58.08736568118093 -209.39823025207571  56.10808669254997 
   -165.00   20.00 -101.43611079690470 -269.19717579264665  72.13116585837864 
   -165.00   25.00 -154.87657606820716 -320.81670136710170  85.96257604973155 
   -165.00   30.00 -216.78500000000003 -362.68837381160137  97.18205686697573 
   -165.00   35.00 -285.28032645828978 -393.53994354700819 105.44871006281045 
   -165.00   40.00 -358.28135960894895 -412.43400123855918 110.51135756300859 
   -165.00   45.00 -433.57000000000016 -418.79646050415153 112.21617338509996 
   -165.00   50.00 -508.85864039105104 -412.43400123855923 110.51135756300860 
   -165.00   55.00 -581.85967354171032 -393.53994354700819 105.44871006281045 
   -165.00   60.00 -650.35500000000002 -362.68837381160137  97.18205686697573 
   -165.00   65.00 -712.26342393179289 -320.81670136710176  85.96257604973157 
   -165.00   70.00 -765.70388920309540 -269.19717579264665  72.13116585837864 
   -165.00   75.00 -809.05263431881917 -209.39823025207571  56.10808669254997 
   -165.00   80.00 -840.99252959414639 -143.23682544591261  38.38019170462996 
   -165.00   85.00 -860.55309747350316 -72.72324217990645  19.48613401307889 
   -165.00   90.00 -867.14000000000010  -0.00000000000000   0.00000000000000 
   -160.00  -90.00 -494.86000000000001   0.00000000000000  -0.00000000000000 
   -160.00  -85.00 -491.10098232781070  40.37461569993572 -14.69515833471349 
   -160.00  -80.00 -479.93814516105726  79.52246913237022 -28.94381171953563 
   -160.00  -75.00 -461.71066565838368 116.25407258052866 -42.31302203153510 
   -160.00  -70.00 -436.97237656092881 149.45335486072696 -54.39657258052866 
   -160.00  -65.00 -406.47493826474039 178.11157258052867 -64.82731079765672 
   -160.00  -60.00 -371.14499999999998 201.35796029627554 -73.28830398040007 
   -160.00  -55.00 -332.05604406307026 218.48618828046438 -79.52246913237020 
   -160.00  -50.00 -290.39576860012858 228.97582399309715 -83.34038430006429 
   -160.00  -45.00 -247.43000000000006 232.50814516105737 -84.62604406307022 
   -160.00  -40.00 -204.46423139987138 228.97582399309712 -83.34038430006427 
   -160.00  -35.00 -162.80395593692975 218.48618828046435 -79.52246913237020 
   -160.00  -30.00 -123.71500000000000 201.35796029627554 -73.28830398040007 
   -160.00  -25.00 -88.38506173525958 178.11157258052867 -64.82731079765672 
   -160.00  -20.00 -57.88762343907126 149.45335486072696 -54.39657258052866 
   -160.00  -15.00 -33.14933434161634 116.25407258052866 -42.31302203153510 
   -160.00  -10.00 -14.92185483894268  79.52246913237020 -28.94381171953562 
   -160.00   -5.00  -3.75901767218936  40.37461569993572 -14.69515833471349 
   -160.00    0.00  -0.00000000000000  -0.00000000000000   0.00000000000000 
   -160.00    5.00  -6.58690252649695 -70.74817980447450  25.75023157734199 
   -160.00   10.00 -26.14747040585370 -139.34671196589642  50.71805539845234 
   -160.00   15.00 -58.08736568118093 -203.71126479707317  74.14483677085511 
   -160.00   20.00 -101.43611079690470 -261.88615393026470  95.31876479707316 
   -160.00   25.00 -154.87657606820716 -312.10376479707315 113.59648038855443 
   -160.00   30.00 -216.78500000000003 -352.83826070264797 128.42262440602215 
   -160.00   35.00 -285.28032645828978 -382.85194460154770 139.34671196589645 
   -160.00   40.00 -358.28135960894895 -401.23286589616100 146.03682019552548 
   -160.00   45.00 -433.57000000000016 -407.42252959414645 148.28967354171024 
   -160.00   50.00 -508.85864039105104 -401.23286589616106 146.03682019552548 
   -160.00   55.00 -581.85967354171032 -382.85194460154770 139.34671196589645 
   -160.00   60.00 -650.35500000000002 -352.83826070264797 128.42262440602215 
   -160.00   65.00 -712.26342393179289 -312.10376479707321 113.59648038855444 
